table_name,last_updated,paused,state,sync_status
analytics_reports_open_ai_insights,"July 31, 2025, 9:29 AM",true,disabled,not_syncing_yet
payroll_submit_payroll,"July 31, 2025, 9:29 AM",true,disabled,not_syncing_yet
retirement_navigate_rollover_withdrawal_tab,"July 31, 2025, 9:29 AM",true,disabled,not_syncing_yet
user_connect_application_corestream,"July 31, 2025, 9:29 AM",true,disabled,not_syncing_yet
analytics_reports_learn_more_compensation_benchmarking,"July 31, 2025, 9:29 AM",true,disabled,not_syncing_yet
check_stubs_close_review_check_drawer_screen_overlay,"July 31, 2025, 9:29 AM",true,disabled,not_syncing_yet
health_benefits_apply_filter_employees,"July 31, 2025, 9:29 AM",true,disabled,not_syncing_yet
company_start_edit_address,"July 31, 2025, 9:29 AM",true,disabled,not_syncing_yet
people_start_sign_tax_document,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
help_view_help_article,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
tax_documents_navigate_h_r_block,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
payroll_center_left_navigation_payroll_center,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
health_benefits_start_benefits_enrollment,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
people_view_persons_pay,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
retirement_navigate_contributions_tab,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
help_un_favorite_help_article_hc_,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
human_resources_start_create_form_300a,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
company_view_more_options,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
combo_events_stats_pack_people_usage,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
user_open_connected_application_drawer,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
check_stubs_download_check_stubs,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
people_open_people_list,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
combo_events_view_help_article,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
human_resources_finish_activate_create_new_review,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
workers_compensation_navigate_policies_tab,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
time_attendance_open_time_off_management_drawer_p_,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
analytics_reports_download_live_reports_combo,"July 31, 2025, 9:27 AM",true,disabled,not_syncing_yet
analytics_reports_view_any_live_report,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
help_down_vote_help_article_bulldozer,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
user_click_any_corestream_tile,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
user_learn_more_paychex_pay,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
retirement_next_step_special_withdrawal,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
hiring_left_navigation_indeed,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
help_search_bulldozer,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
documents_open_onboarding_form_i_9_drawer,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
tasks_open_time_off_request_drawer_t_,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
retirement_start_rollover_withdrawal,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
retirement_cancel_special_withdrawal,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
analytics_reports_navigate_visier_c_,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
human_resources_navigate_eeo_1_reporting,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
user_save_edit_delivery_options,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
time_attendance_click_add_entry_batch_actions_wizard,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
analytics_reports_download_live_report_details_xlsx,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
human_resources_start_voluntary_self_identification,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
retirement_open_retirement_admin_drawer,"July 31, 2025, 9:26 AM",true,disabled,not_syncing_yet
payroll_navigate_resume_payroll,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
user_go_to_my_paychex_pay_account,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
help_view_help_guide_hc_,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
people_confirm_federal_taxes_info_banner,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
time_attendance_open_time_off_management_drawer,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
people_confirm_sign_tax_document,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
people_next_step_state_taxes,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
people_apply_add_state_tax,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
retirement_navigate_retirement,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
payroll_navigate_people_drawer,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
company_navigate_profile,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
user_launch_corestream_up_,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
health_benefits_start_over_benefits_enrollment,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
retirement_cancel_add_rollover_withdrawal_bank_account,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
health_benefits_left_navigation_health_benefits,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
retirement_navigate_benefits_enrollment_details,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
people_save_confirm_direct_deposit,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
help_open_share_options_hc_,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
time_attendance_view_action_item_details,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
company_cancel_edit_paychex_pre_check_settings,"July 31, 2025, 9:25 AM",true,disabled,not_syncing_yet
help_open_help_bulldozer,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
help_close_help_bulldozer,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
check_stubs_open_checks_for_review,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
dashboard_open_quick_reports_d_,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
workers_compensation_back_to_policy_details,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
workers_compensation_left_navigation_works_compensation,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
workers_compensation_view_past_policy_details,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
time_attendance_navigate_batch_actions,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
people_view_persons_employment,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
help_close_share_options,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
analytics_reports_navigate_visier_tab,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
people_open_people_list_tile_web_,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
people_save_schedule_time_off_p_,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
people_start_edit_state_taxes,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
help_click_help_center_search,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
people_start_edit_direct_deposit_paychex_pay,"July 31, 2025, 9:23 AM",true,disabled,not_syncing_yet
hiring_click_agree_findem_model,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
people_start_edit_personal_info,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
payroll_center_submit_payrolls,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
dashboard_any_current_payroll,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
check_stubs_close_review_check_drawer,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
retirement_navigate_performance_stage,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
health_benefits_view_current_plan_details,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
workers_compensation_enable_automatic_certificate_renewal,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
time_attendance_confirm_transfer,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
retirement_cancel_special_withdrawal_header_,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
people_next_step_summary_state_taxes,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
analytics_reports_download_live_report_summary,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
my_perks_get_started_corestream,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
combo_events_analytics_reports_tile_usage,"July 31, 2025, 9:19 AM",true,disabled,not_syncing_yet
